id,name,text,location,friend_count,follower_count
836645421971820544,stacynance85,@Sheugs @ClanHeughan @SamHeughan @barbaramills1 @sarahjaswim @LaurelSchuett @pjl24 @GHJNancy @ladybay8… https://t.co/7SJlQkhGPI,"Tennessee, USA",99,41
735082409864089601,fcpsCOLLEGE,Kudos on a great College Simulation Day at FW #MrsDixieSpencerRocks @suptking https://t.co/k1F2ZRzKSU,"Somerville, TN",446,29
709808773863501826,romannberrux,Who wants to drink with me ? https://t.co/UH2ngaI7OG,France,39522,166
1032413840561106944,Heather99890272,Poor baby said he had a bad day at school and that he misses his old teacher https://t.co/OQZmuD11p5,,2,15
734891283001409536,AmandaWaggoner3,Prek family engagement night! @EaglesSouthwest https://t.co/1wE3ERgdA6,,91,23
900461226622431232,FCPS_PIC,"RT @suptking: Job well done! Congrats, ladies! https://t.co/BZndVvrFSJ","Somerville, TN",336,266
753377421433372672,allien1111,Students at BCES are learning about subjects and predicates in order to enhance their writing skills ⁦@suptking⁩ ⁦… https://t.co/Eu8E5QZYBQ,,164,140
914599905750130688,fayetteware2020,What color should 2020 T-shirts be for the 2017-2018 school year? any other suggestions email fayettewareclassof2020@gmail.com,"Tennessee, USA",30,126
895299222874017792,TinaCla1301974,,1,1,
895310032723730434,LachikiaWillia1,RT @erinpieferejhs: So proud of these two young ladies..... https://t.co/czPpt85GAj,,6,40
824350595490467847,key_danita,"Headed to early morning prayer!! Prayer is the KEY, FAITH unlocks the door!  Don’t let the rain stop you from givin… https://t.co/kRGkRfmiLC",,248,225
836990753868038155,DeeDee_RaNya,More pics https://t.co/NkBvQVBOSy,"Tennessee, USA",4,19
836275611140227075,SheilaW65271918,,1,1,
766746454375489540,teachmoore91,@KteachShorty I miss ya'll too!!,,96,64
920237148829339654,Salum200000,@JamiiForums Usimdharau MTU usiyemjua, Bariadi,12,634
899817405274128385,SWprekteacher,Pretty proud of her fun journal writing! @EaglesSouthwest https://t.co/397FHCnJ9H,,76,40
974703027058769923,AnnikaSkarsted1,"RT @Lin_Manuel: They super didn’t.
91 Billion was the estimated DAMAGE.
Puerto Rico is still WAITING for most of their allocated relief fun…",Sverige,26,70
1014321422083162115,AdrianaConingh1,"RT @dosefilosofia: Tome cuidado com o vazio 
de uma vida ocupada demais.

- Sócrates.",,255,1337
3118923785,broncojt82,Absolutely LOVE my Fiancé and can't wait to be with him for good finally 😍😘😘😘😘 https://t.co/s6LdItKTRx,"Gaylord, MI",234,1089
356286478,Madison_Frye,RT @csydelko: Paul Rudd is literally aging normally he’s just hot,probably w/ some dogs,393,554
1510918164,Outlander_STARZ,"The start of production on #Outlander Season 5 is just around the corner, clan! (📸: @caitrionambalfe) https://t.co/Wanw1UCN37",Reunited at River Run ❤️,447419,909
855125892137353220,Cypress_mag,WE WANT QUESTIONS! Today is the day! We’ll be recording our podcast today and want to answer your questions! If you… https://t.co/Bf7EZgrkwg,"Atoka, TN",73,169
1711495190,nmthompson13,,115,409,
40814615,mscitro,"@mike_pence @realDonaldTrump Fuck off, you moron.",MD,306,229
2767591443,SamKraupner,@stewart9395 @scotsguy11 😘😘,Chicago ,1101,1262
900413782576463877,PIC_FCPS,RT @KariJoys: When #Children are treated with #Kindness &amp; #Respect.. RT @TheGood90551276 #JoyTrain #Joy #Love https://t.co/QbdblEVw7B,"Somerville, TN",372,444
313620507,GSarnagiotto,"RT @SuperWiki: Carry on my wayward son
For there'll be peace when you are done
Lay your weary head to rest
Don't you cry no more

 - Jx",,95,1598
1566924828,daguirrefirth,Two years of the best memories and the best laughs. I love you honey! ❤️honey_nat1 https://t.co/59NJrdfROz,"London, England",223,762
361764894,bisy129,@romannberrux your Looking great... greetings from germany,deutschland,159,320
4157861919,SimoneGotes,RT @erkencialbatros: 🐥🕊 #demetözdemir #canyaman https://t.co/YLXuGZ1EaU,"São Paulo, Brasil",138,166
1408976928,DentonDena,@EJHSBulldogCtry @suptking @NicoleBanksejhs Why do I have him on my bulletin board? ❤️❤️❤️Lol https://t.co/iwRxgYzpPN,,88,28
135600161,maryvilleri,https://t.co/RItZRcTKAv,méxico,1699,2320
2314418210,KaraKovich1,This is so sad.  :( https://t.co/mCOYdeoLO5,,329,527
15968286,crshore,https://t.co/vz5ZxpAdVt,"Connecticut, USA",58,678
2319249439,look_its_jenna,#MeToo https://t.co/MttPT5TTTM,"Vancouver, British Columbia",28,59
188428326,PattiG98203,RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @SW_Celebration exclusive Darth Maul Pop! #FunkoSWC https://t.co/pMwy…,Pacific Northwest,234,2310
23900199,branndiwynne,RT @RikiRachtman: @OzzyOsbourne entire 2019 tour has been cancelled Get better Mr O we are waiting to see you again,The South ,86,308
1559015466,cellolover15,(Vine by Big Dick Rick) https://t.co/s2K1SQlEoV,,300,1788
14176299,meglefay,"RT @kylegriffin1: Barack Obama: ""When we hear that young people aren't voting or participating, we say to them, 'You would not let your gra…",,98,624
25045038,elissakk,@PattiMurin Are you watching the Netflix series called Dogs? Been crying happy tears all morning!,,71,3106
1442840628,FranieKowalski,@Things4WhitePpl Always missing the Fratsle @treyhunter_ @AlexiaGoodwin @W_J_Jones @Hrbek_ @donnyolvera  @dave91290,,420,385
563855417,eli2carty,@donlemon Congratulations❤️❤️❤️,"Michigan, USA",71,813
1624203324,nanci712,@TallShipProds @DebHarkness It's wonderfull! I think you'll love it,USA,2003,1768
27529277,AlStout3,@ThatEricAlper 😍😍😍,"iPhone: 38.299290,-85.551231",744,3389
1047545875462066177,wrightPG23,@claraelvisa You not feeling it ? 🧐,"Scotland, United Kingdom",71,139
491077697,TreTzyTV,If I had some big ass tits I’d rule the world.,tretzytvbusiness@gmail.com,64217,344
441485379,KarenGovan,@sinmck Me too...so over it!,,469,400
2177239111,poosh01,@Scot_Heritage https://t.co/SDofktv8Iy,Vancouver ,11,111
2909368392,ChiltonCrane,"RT @Connectthefilm: Today is our live,in-person pitch to the #Crazy8sFilms15 judges! Stay tuned at http://t.co/BZXDIHO9bd @ChiltonCrane @av…",,132,101
132606026,intheprairie,RT @nathanwpyle: my favorite dog I ever saw in NYC was this one who really nailed her impression of the nearby mailbox https://t.co/wOxWaZE…,Manitoba,766,1606
716795010654605312,RealiTeaRead,@cara_patzsch Definitely not. We lost our leading man and we’re still doing OK. Not one character is that important.,,108,416
795953028209774592,NicoleRoussel3,@frxsersridge Faith 😭😭😭😭😭,"Montréal, Québec",323,1378
2812018764,schroeder_253,@ricky_nauta @dillp671 Sacrifices = happy wife/happy life,,139,1093
837248640028708864,Elianitra,"RT @VisitScotland: Is this YOUR idea of House Goals?! 😍 #YCW2020 📍 Loch Glass, #Highlands 📷 IG/merlins_mind https://t.co/7XHJdrEKft",Lilienthal /Germany,363,496
71385165,vannyroy,This new @callherdaddy  episode is making me realize that I may or may not be a fuck girl 🤦🏽‍♀️,calgary,135,195
2355118160,KokiePipkin,RT @Writer_DG: You might want to read a few biographies of people who lived (and fought and ran plantations and sailed ships and ran guns a…,"Gig Harbor, Washington",2281,2688
2833389648,destinyshea8,@acetivity When bae likes a hoes pic,,97,180
800577619,w_steeves,"@pickupapainting @faIIoutbay So well done, buddy..","Calgary, Alberta, Canada",1324,2731
2846734420,beachwalkerbird,@ZonePhysics @SamHeughan Amazing!!!!!,United States,354,454
3040329822,sandbrook47,,18,629,
3161954404,GlendaGlenmk,RT @tinksalways: Been a bit hectic and busy my end. I hope you are all well🥰 https://t.co/NWI8NHZS1l,,230,2316
1380872293,virgo__ladii,RT @kykouture_: Yea u bad i guess that’s why they hatin on u 😘 https://t.co/fVvK3lbEey,"Memphis, TN",305,980
3078924389,sharon96562151,@BBCR1 @grimmers She’s like the wind by patrick swayze from dirty dancing,,87,3711
202502247,TeacherofSong,RT @RashidaTlaib: We are creating a whole generation of children who will remember what we did. They will remember we caged them like anima…,,37,173
3118327922,kgirldc,,71,1366,
1546412148,OutlanderWriter,"Hey #Outlander fans! Tune in to Entertainment Weekly’s Facebook page today, February 13th at 3pm EST/12pm PST for a… https://t.co/2lAOGAdSuL","Los Angeles, CA",103087,54
4745046134,caramia_2003,RT @bonappetit: Text all of your friends to come over for a posole party this weekend. #BAEssentials https://t.co/zvcpzOSXK5,"California, USA",17,138
2502940791,AshcraftTeresa,,3,83,
